Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AMGN,AMGN,AMGN,AMGN,AMGN,AMGN
Date,,,,,,
2000-01-03 00:00:00+00:00,44.26047134399414,62.9375,70.0,62.875,70.0,22914900
2000-01-04 00:00:00+00:00,40.87609100341797,58.125,64.125,57.6875,62.0,15052600
2000-01-05 00:00:00+00:00,42.282588958740234,60.125,60.6875,58.25,59.1875,15071400
2000-01-06 00:00:00+00:00,42.98583221435547,61.125,61.9375,60.25,60.75,11118400
2000-01-07 00:00:00+00:00,47.82065963745117,68.0,68.5,62.625,62.75,15953900
2000-01-10 00:00:00+00:00,50.72152328491211,72.125,72.6875,69.5,69.5,10555300
2000-01-11 00:00:00+00:00,46.72182846069336,66.4375,72.375,64.125,72.0625,14103100
2000-01-12 00:00:00+00:00,44.69999313354492,63.5625,67.75,62.5625,67.625,11576800
2000-01-13 00:00:00+00:00,46.98553466796875,66.8125,67.75,63.8125,64.75,10552600
2000-01-14 00:00:00+00:00,48.040409088134766,68.3125,70.0,67.375,68.875,8971200
2000-01-18 00:00:00+00:00,48.56783676147461,69.0625,70.125,68.25,70.0,8658100
2000-01-19 00:00:00+00:00,50.633628845214844,72.0,72.9375,69.875,70.0,12070900
2000-01-20 00:00:00+00:00,50.50175857543945,71.8125,74.5,69.625,74.375,9460900
2000-01-21 00:00:00+00:00,52.52360153198242,74.6875,75.0,72.0,73.375,8154300
2000-01-24 00:00:00+00:00,48.699710845947266,69.25,76.5,69.125,75.875,9853500
2000-01-25 00:00:00+00:00,48.78759765625,69.375,70.8125,66.0,70.75,11251900
2000-01-26 00:00:00+00:00,45.0955810546875,64.125,68.875,64.0625,67.875,16000800
2000-01-27 00:00:00+00:00,43.16166687011719,61.375,65.0625,59.125,65.0,14797000
2000-01-28 00:00:00+00:00,41.97492218017578,59.6875,61.4375,59.375,61.4375,10899900
2000-01-31 00:00:00+00:00,44.78789520263672,63.6875,63.875,59.875,61.0,12619500
2000-02-01 00:00:00+00:00,45.930667877197266,65.3125,66.0,62.75,64.75,9902700
2000-02-02 00:00:00+00:00,44.78789520263672,63.6875,65.125,61.875,65.125,9976900
2000-02-03 00:00:00+00:00,45.007659912109375,64.0,65.0,62.375,64.75,7613000
2000-02-04 00:00:00+00:00,45.447200775146484,64.625,66.5,64.125,64.75,8069600
2000-02-07 00:00:00+00:00,48.65573501586914,69.1875,69.5625,65.125,66.5,9190200
2000-02-08 00:00:00+00:00,49.578765869140625,70.5,72.1875,69.1875,70.375,11108300
2000-02-09 00:00:00+00:00,46.98553466796875,66.8125,71.5,66.625,71.25,7774100
2000-02-10 00:00:00+00:00,45.84276580810547,65.1875,67.5,64.5,67.375,8880100
2000-02-11 00:00:00+00:00,44.04069137573242,62.625,66.3125,61.9375,65.3125,8105000
2000-02-14 00:00:00+00:00,45.75486755371094,65.0625,65.875,61.5,63.5625,8794600
2000-02-15 00:00:00+00:00,45.75486755371094,65.0625,65.75,64.1875,65.25,8358400
2000-02-16 00:00:00+00:00,49.139225006103516,69.875,70.0,64.75,65.125,11654800
2000-02-17 00:00:00+00:00,51.16105651855469,72.75,74.0,69.9375,70.1875,14842800
2000-02-18 00:00:00+00:00,50.1501579284668,71.3125,75.0,69.9375,74.5,14959700
2000-02-22 00:00:00+00:00,47.46900939941406,67.5,71.9375,66.375,71.6875,8657100
2000-02-23 00:00:00+00:00,50.23804473876953,71.4375,72.125,67.125,68.6875,9098600
2000-02-24 00:00:00+00:00,51.029205322265625,72.5625,73.1875,68.453125,72.125,9630100
2000-02-25 00:00:00+00:00,51.732444763183594,73.5625,74.0,70.125,73.0,8556500
2000-02-28 00:00:00+00:00,48.128318786621094,68.4375,72.875,66.5,72.875,13264800
2000-02-29 00:00:00+00:00,47.95250701904297,68.1875,70.5,67.125,70.25,8593500
2000-03-01 00:00:00+00:00,45.75486755371094,65.0625,67.25,64.8125,67.0,10212300
2000-03-02 00:00:00+00:00,45.930667877197266,65.3125,67.875,63.0,65.3125,12075000
2000-03-03 00:00:00+00:00,46.6339111328125,66.3125,67.875,65.0,66.875,10481000
2000-03-06 00:00:00+00:00,45.403236389160156,64.5625,66.875,63.3125,66.875,12645900
2000-03-07 00:00:00+00:00,42.897926330566406,61.0,65.5,60.5,65.4375,12739800
2000-03-08 00:00:00+00:00,43.16166687011719,61.375,63.375,60.6875,63.0,15595000
2000-03-09 00:00:00+00:00,41.491451263427734,59.0,61.6875,58.875,61.5625,10935000
2000-03-10 00:00:00+00:00,41.88700866699219,59.5625,63.375,58.75,60.0,16043800
2000-03-13 00:00:00+00:00,40.788204193115234,58.0,60.25,58.0,58.1875,10081100
2000-03-14 00:00:00+00:00,36.74454116821289,52.25,60.0,51.0625,59.875,27589100
2000-03-15 00:00:00+00:00,41.139808654785156,58.5,59.375,56.0,57.1875,33529500
2000-03-16 00:00:00+00:00,45.53510284423828,64.75,65.5,61.125,62.5,18216200
2000-03-17 00:00:00+00:00,44.392330169677734,63.125,65.1875,62.1875,64.25,12260600
2000-03-20 00:00:00+00:00,40.788204193115234,58.0,62.375,56.9375,62.25,20278200
2000-03-21 00:00:00+00:00,42.98583221435547,61.125,61.5,55.125,58.125,16598600
2000-03-22 00:00:00+00:00,43.42535400390625,61.75,63.125,60.0,61.6875,11226000
2000-03-23 00:00:00+00:00,40.56843185424805,57.6875,58.5,56.8125,58.125,20064100
2000-03-24 00:00:00+00:00,38.37078857421875,54.5625,58.421875,52.75,58.25,21633800
2000-03-27 00:00:00+00:00,42.458412170410156,60.375,61.0,55.125,55.125,15924900
2000-03-28 00:00:00+00:00,44.172569274902344,62.8125,65.75,60.40625,61.25,18037600
2000-03-29 00:00:00+00:00,43.77698516845703,62.25,65.875,61.6875,64.9375,10524700
