Price,Adj Close,Close,High,Low,Open,Volume
Ticker,COR,COR,COR,COR,COR,COR
Date,,,,,,
2000-01-03 00:00:00+00:00,2.9387569427490234,3.890625,3.9375,3.8125,3.875,2784800
2000-01-04 00:00:00+00:00,2.7381200790405273,3.625,3.703125,3.5,3.6875,944000
2000-01-05 00:00:00+00:00,2.9505605697631836,3.90625,4.046875,3.625,3.65625,810400
2000-01-06 00:00:00+00:00,3.1748032569885254,4.203125,4.28125,3.828125,4.0,2695200
2000-01-07 00:00:00+00:00,3.5878818035125732,4.75,4.75,4.15625,4.203125,2543600
2000-01-10 00:00:00+00:00,3.682300329208374,4.875,5.15625,4.75,4.75,2534400
2000-01-11 00:00:00+00:00,3.8003203868865967,5.03125,5.125,4.890625,4.96875,2545200
2000-01-12 00:00:00+00:00,3.8003203868865967,5.03125,5.03125,4.90625,5.03125,1085600
2000-01-13 00:00:00+00:00,4.473049640655518,5.921875,5.953125,5.03125,5.03125,2248000
2000-01-14 00:00:00+00:00,4.189795017242432,5.546875,5.828125,5.4375,5.75,2403200
2000-01-18 00:00:00+00:00,4.012762069702148,5.3125,5.484375,5.25,5.3125,3676400
2000-01-19 00:00:00+00:00,4.024562358856201,5.328125,5.375,5.265625,5.3125,1015200
2000-01-20 00:00:00+00:00,3.812124252319336,5.046875,5.25,5.0,5.234375,1674000
2000-01-21 00:00:00+00:00,3.635089874267578,4.8125,4.9375,4.6875,4.90625,1384000
2000-01-24 00:00:00+00:00,3.6704981327056885,4.859375,4.96875,4.78125,4.875,857600
2000-01-25 00:00:00+00:00,3.5406720638275146,4.6875,4.859375,4.5625,4.859375,672400
2000-01-26 00:00:00+00:00,3.422649621963501,4.53125,4.6875,4.46875,4.6875,621200
2000-01-27 00:00:00+00:00,3.5406720638275146,4.6875,4.875,4.53125,4.5625,3402800
2000-01-28 00:00:00+00:00,3.5406720638275146,4.6875,4.78125,4.640625,4.75,1545200
2000-01-31 00:00:00+00:00,3.422649621963501,4.53125,4.703125,4.515625,4.6875,588400
2000-02-01 00:00:00+00:00,3.528870105743408,4.671875,5.046875,4.59375,4.9375,1546800
2000-02-02 00:00:00+00:00,3.5642762184143066,4.71875,4.78125,4.609375,4.609375,1564400
2000-02-03 00:00:00+00:00,3.5406720638275146,4.6875,4.71875,4.625,4.6875,1324800
2000-02-04 00:00:00+00:00,3.4816596508026123,4.609375,4.6875,4.53125,4.6875,707200
2000-02-07 00:00:00+00:00,3.458054304122925,4.578125,4.59375,4.53125,4.546875,528000
2000-02-08 00:00:00+00:00,3.375440835952759,4.46875,4.59375,4.4375,4.59375,696800
