Price,Adj Close,Close,High,Low,Open,Volume
Ticker,MCO,MCO,MCO,MCO,MCO,MCO
Date,,,,,,
2000-01-03 00:00:00+00:00,8.477681159973145,10.8125,11.0625,10.8125,11.0625,1356800
2000-01-04 00:00:00+00:00,8.232662200927734,10.5,10.875,10.4375,10.8125,1126600
2000-01-05 00:00:00+00:00,8.085650444030762,10.3125,10.5,10.1875,10.5,1278800
2000-01-06 00:00:00+00:00,8.085650444030762,10.3125,10.4375,10.3125,10.3125,2142800
2000-01-07 00:00:00+00:00,8.281669616699219,10.5625,10.625,10.5,10.5,2784200
2000-01-10 00:00:00+00:00,8.281669616699219,10.5625,10.625,10.5,10.5625,964200
2000-01-11 00:00:00+00:00,8.379676818847656,10.6875,10.75,10.5625,10.5625,1656400
2000-01-12 00:00:00+00:00,8.330670356750488,10.625,10.75,10.625,10.6875,1719400
2000-01-13 00:00:00+00:00,8.477681159973145,10.8125,10.9375,10.6875,10.6875,947800
2000-01-14 00:00:00+00:00,8.379676818847656,10.6875,10.875,10.6875,10.8125,739400
2000-01-18 00:00:00+00:00,8.183662414550781,10.4375,10.625,10.4375,10.625,802800
2000-01-19 00:00:00+00:00,8.330670356750488,10.625,10.9375,10.4375,10.4375,1146000
2000-01-20 00:00:00+00:00,8.232662200927734,10.5,10.625,10.5,10.625,1032800
2000-01-21 00:00:00+00:00,8.281669616699219,10.5625,10.6875,10.5,10.5,1961400
2000-01-24 00:00:00+00:00,8.183662414550781,10.4375,10.625,10.4375,10.5625,1661000
2000-01-25 00:00:00+00:00,7.987645149230957,10.1875,10.5,10.125,10.4375,2578600
2000-01-26 00:00:00+00:00,7.5956130027771,9.6875,10.125,9.6875,10.125,2074600
2000-01-27 00:00:00+00:00,7.693624019622803,9.8125,9.875,9.5625,9.6875,1875800
2000-01-28 00:00:00+00:00,7.497603893280029,9.5625,9.75,9.5625,9.75,1590000
2000-01-31 00:00:00+00:00,7.399595260620117,9.4375,9.5625,9.4375,9.5625,1802800
2000-02-01 00:00:00+00:00,7.6446146965026855,9.75,9.8125,9.4375,9.4375,1504600
2000-02-02 00:00:00+00:00,7.6446146965026855,9.75,9.8125,9.6875,9.75,955200
2000-02-03 00:00:00+00:00,7.693624019622803,9.8125,10.0,9.6875,9.75,1320200
2000-02-04 00:00:00+00:00,7.6446146965026855,9.75,9.8125,9.75,9.8125,2108000
2000-02-07 00:00:00+00:00,7.693624019622803,9.8125,9.875,9.75,9.75,760800
2000-02-08 00:00:00+00:00,7.791630268096924,9.9375,10.0625,9.8125,9.8125,1197000
2000-02-09 00:00:00+00:00,7.693624019622803,9.8125,9.9375,9.8125,9.9375,1901400
2000-02-10 00:00:00+00:00,7.546608924865723,9.625,9.875,9.4375,9.8125,1941800
2000-02-11 00:00:00+00:00,7.399595260620117,9.4375,9.5625,9.25,9.5625,4416200
2000-02-14 00:00:00+00:00,7.742628574371338,9.875,9.875,9.4375,9.4375,2297400
2000-02-15 00:00:00+00:00,7.987645149230957,10.1875,10.6875,10.0625,10.0625,2778000
2000-02-16 00:00:00+00:00,7.889639377593994,10.0625,10.1875,9.9375,10.1875,2960800
2000-02-17 00:00:00+00:00,8.036648750305176,10.25,10.3125,10.0,10.0625,4666200
2000-02-18 00:00:00+00:00,7.987645149230957,10.1875,10.5,10.125,10.25,2250000
2000-02-22 00:00:00+00:00,8.085650444030762,10.3125,10.375,10.0,10.1875,1162000
2000-02-23 00:00:00+00:00,8.036648750305176,10.25,10.5,10.1875,10.3125,5380600
2000-02-24 00:00:00+00:00,7.987645149230957,10.1875,10.25,10.125,10.25,1238200
2000-02-25 00:00:00+00:00,7.889639377593994,10.0625,10.3125,10.0,10.1875,1841200
2000-02-28 00:00:00+00:00,7.840633869171143,10.0,10.0625,9.875,10.0625,1085600
2000-02-29 00:00:00+00:00,7.693624019622803,9.8125,9.875,9.6875,9.875,2504000
2000-03-01 00:00:00+00:00,7.791630268096924,9.9375,9.9375,9.75,9.8125,1148000
2000-03-02 00:00:00+00:00,7.693624019622803,9.8125,9.9375,9.75,9.9375,1337200
2000-03-03 00:00:00+00:00,7.791630268096924,9.9375,10.0625,9.75,9.8125,996200
2000-03-06 00:00:00+00:00,7.693624019622803,9.8125,10.0625,9.75,9.9375,728000
2000-03-07 00:00:00+00:00,7.546608924865723,9.625,9.8125,9.5625,9.8125,841600
2000-03-08 00:00:00+00:00,7.5956130027771,9.6875,9.875,9.5625,9.625,1077000
2000-03-09 00:00:00+00:00,7.840633869171143,10.0,10.0,9.6875,9.6875,1225400
2000-03-10 00:00:00+00:00,7.742628574371338,9.875,10.0625,9.75,10.0,802600
2000-03-13 00:00:00+00:00,7.889639377593994,10.0625,10.5,9.875,9.875,1546200
2000-03-14 00:00:00+00:00,8.085650444030762,10.3125,10.5,10.1875,10.1875,1142200
2000-03-15 00:00:00+00:00,8.477681159973145,10.8125,10.875,10.125,10.3125,1365000
2000-03-16 00:00:00+00:00,8.575690269470215,10.9375,11.0,10.75,10.8125,2816600
2000-03-17 00:00:00+00:00,8.428682327270508,10.75,10.9375,10.625,10.9375,1599400
2000-03-20 00:00:00+00:00,8.428682327270508,10.75,10.9375,10.625,10.75,1223000
2000-03-21 00:00:00+00:00,8.428682327270508,10.75,10.875,10.6875,10.75,1369600
2000-03-22 00:00:00+00:00,8.72270393371582,11.125,11.125,10.8125,10.8125,2129400
2000-03-23 00:00:00+00:00,8.820712089538574,11.25,11.4375,11.125,11.125,1188200
2000-03-24 00:00:00+00:00,8.820712089538574,11.25,11.4375,11.1875,11.25,2409600
2000-03-27 00:00:00+00:00,8.820712089538574,11.25,11.375,11.25,11.25,783200
2000-03-28 00:00:00+00:00,8.673702239990234,11.0625,11.3125,11.0,11.25,765600
2000-03-29 00:00:00+00:00,8.428682327270508,10.75,11.125,10.5625,11.0625,1100000
2000-03-30 00:00:00+00:00,8.379676818847656,10.6875,10.75,10.625,10.75,1426400
2000-03-31 00:00:00+00:00,8.428682327270508,10.75,10.875,10.5,10.6875,1061000
2000-04-03 00:00:00+00:00,8.281669616699219,10.5625,10.75,10.5,10.75,831800
2000-04-04 00:00:00+00:00,8.134659767150879,10.375,10.9375,10.25,10.5625,1216400
2000-04-05 00:00:00+00:00,7.987645149230957,10.1875,10.4375,9.9375,10.375,1189800
2000-04-06 00:00:00+00:00,8.281669616699219,10.5625,10.6875,10.1875,10.1875,1026400
2000-04-07 00:00:00+00:00,8.232662200927734,10.5,10.625,10.4375,10.5625,631400
2000-04-10 00:00:00+00:00,8.281669616699219,10.5625,10.6875,10.5625,10.5625,768600
2000-04-11 00:00:00+00:00,8.232662200927734,10.5,10.75,10.4375,10.5625,2690400
2000-04-12 00:00:00+00:00,8.232662200927734,10.5,10.6875,10.375,10.5,1724800
2000-04-13 00:00:00+00:00,7.938639163970947,10.125,10.625,10.125,10.5,1125000
2000-04-14 00:00:00+00:00,7.987645149230957,10.1875,10.3125,10.0625,10.125,1554000
2000-04-17 00:00:00+00:00,8.330670356750488,10.625,10.6875,10.25,10.25,1029400
2000-04-18 00:00:00+00:00,8.183662414550781,10.4375,10.75,10.3125,10.625,2104800
2000-04-19 00:00:00+00:00,8.379676818847656,10.6875,10.75,10.5,10.5,2048200
2000-04-20 00:00:00+00:00,8.477681159973145,10.8125,10.875,10.625,10.6875,1061000
2000-04-24 00:00:00+00:00,8.477681159973145,10.8125,11.0625,10.5625,10.8125,751600
2000-04-25 00:00:00+00:00,8.72270393371582,11.125,11.3125,10.6875,10.8125,1075600
2000-04-26 00:00:00+00:00,8.72270393371582,11.125,11.25,11.0625,11.125,1090400
2000-04-27 00:00:00+00:00,8.918720245361328,11.375,11.4375,11.125,11.125,967800
2000-04-28 00:00:00+00:00,8.86971664428711,11.3125,11.4375,10.8125,11.375,890400
2000-05-01 00:00:00+00:00,9.163737297058105,11.6875,11.6875,11.3125,11.3125,1428200
2000-05-02 00:00:00+00:00,8.820712089538574,11.25,11.875,10.9375,11.6875,1448200
2000-05-03 00:00:00+00:00,8.918720245361328,11.375,11.4375,10.875,11.25,890200
2000-05-04 00:00:00+00:00,9.163737297058105,11.6875,11.8125,11.3125,11.375,1884000
2000-05-05 00:00:00+00:00,8.967724800109863,11.4375,11.625,11.4375,11.625,546400
2000-05-08 00:00:00+00:00,8.918720245361328,11.375,11.4375,11.0625,11.4375,1355800
2000-05-09 00:00:00+00:00,8.918720245361328,11.375,11.375,11.0625,11.375,347000
2000-05-10 00:00:00+00:00,8.771709442138672,11.1875,11.4375,11.0,11.375,631800
2000-05-11 00:00:00+00:00,8.820712089538574,11.25,11.25,11.0,11.1875,774600
2000-05-12 00:00:00+00:00,8.918720245361328,11.375,11.375,11.1875,11.25,1837800
2000-05-15 00:00:00+00:00,8.86971664428711,11.3125,11.5,11.1875,11.375,1755000
2000-05-16 00:00:00+00:00,9.26174545288086,11.8125,11.875,11.375,11.375,1803800
2000-05-17 00:00:00+00:00,9.163737297058105,11.6875,11.875,11.625,11.8125,1008400
2000-05-18 00:00:00+00:00,9.163737297058105,11.6875,11.8125,11.6875,11.6875,891200
2000-05-19 00:00:00+00:00,8.86971664428711,11.3125,11.625,11.1875,11.625,709800
2000-05-22 00:00:00+00:00,8.918720245361328,11.375,11.5,11.1875,11.3125,727200
2000-05-23 00:00:00+00:00,9.065732955932617,11.5625,11.6875,11.375,11.375,1163800
2000-05-24 00:00:00+00:00,9.065732955932617,11.5625,11.5625,11.25,11.5625,1389200
2000-05-25 00:00:00+00:00,9.163737297058105,11.6875,11.875,11.5,11.5625,802200
2000-05-26 00:00:00+00:00,8.967724800109863,11.4375,11.8125,11.3125,11.6875,579600
2000-05-30 00:00:00+00:00,8.967724800109863,11.4375,11.5625,11.3125,11.4375,1051200
2000-05-31 00:00:00+00:00,9.065732955932617,11.5625,11.5625,11.5625,11.5625,1308600
2000-06-01 00:00:00+00:00,9.310752868652344,11.875,11.9375,11.5,11.5625,2012800
2000-06-02 00:00:00+00:00,9.506770133972168,12.125,12.25,11.875,11.875,2205200
2000-06-05 00:00:00+00:00,9.702781677246094,12.375,12.6875,12.125,12.125,1871600
2000-06-06 00:00:00+00:00,9.60477352142334,12.25,12.375,12.125,12.375,1274200
2000-06-07 00:00:00+00:00,9.55577278137207,12.1875,12.3125,12.0,12.25,464800
2000-06-08 00:00:00+00:00,9.26174545288086,11.8125,12.1875,11.75,12.1875,936400
2000-06-09 00:00:00+00:00,9.114729881286621,11.625,11.9375,11.5625,11.8125,1117000
2000-06-12 00:00:00+00:00,9.065732955932617,11.5625,11.875,11.5625,11.625,717000
2000-06-13 00:00:00+00:00,9.016725540161133,11.5,11.6875,11.5,11.5625,726000
2000-06-14 00:00:00+00:00,9.163737297058105,11.6875,11.6875,11.4375,11.5,750800
2000-06-15 00:00:00+00:00,8.86971664428711,11.3125,11.75,11.3125,11.6875,736200
2000-06-16 00:00:00+00:00,8.967724800109863,11.4375,11.5,11.25,11.3125,1652000
2000-06-19 00:00:00+00:00,9.065732955932617,11.5625,11.625,11.375,11.4375,974400
2000-06-20 00:00:00+00:00,9.016725540161133,11.5,11.5,11.4375,11.5,395400
2000-06-21 00:00:00+00:00,9.114729881286621,11.625,11.6875,11.375,11.5,606000
2000-06-22 00:00:00+00:00,9.065732955932617,11.5625,11.75,11.5,11.625,1428600
2000-06-23 00:00:00+00:00,8.967724800109863,11.4375,11.625,11.3125,11.5625,664000
2000-06-26 00:00:00+00:00,8.820712089538574,11.25,11.4375,11.1875,11.4375,1288000
2000-06-27 00:00:00+00:00,8.428682327270508,10.75,11.25,10.6875,11.25,1718400
2000-06-28 00:00:00+00:00,8.477681159973145,10.8125,11.0,10.6875,10.75,1722600
2000-06-29 00:00:00+00:00,8.72270393371582,11.125,11.1875,10.8125,10.8125,1035400
2000-06-30 00:00:00+00:00,8.428682327270508,10.75,11.125,10.75,11.125,1555200
2000-07-03 00:00:00+00:00,8.52668285369873,10.875,10.875,10.75,10.75,540400
2000-07-05 00:00:00+00:00,8.330670356750488,10.625,11.0,10.625,10.875,874000
