Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TROW,TROW,TROW,TROW,TROW,TROW
Date,,,,,,
2000-01-03 00:00:00+00:00,9.202653884887695,17.5625,18.625,17.3125,18.53125,748800
2000-01-04 00:00:00+00:00,8.92428207397461,17.03125,17.5625,17.0,17.34375,1076200
2000-01-05 00:00:00+00:00,8.907909393310547,17.0,17.46875,16.59375,16.875,1050400
2000-01-06 00:00:00+00:00,9.16990852355957,17.5,17.5,16.6875,16.96875,478200
2000-01-07 00:00:00+00:00,9.104403495788574,17.375,17.75,17.25,17.609375,466200
2000-01-10 00:00:00+00:00,9.202653884887695,17.5625,17.875,17.4375,17.65625,407600
2000-01-11 00:00:00+00:00,9.16990852355957,17.5,17.78125,17.28125,17.5,402400
2000-01-12 00:00:00+00:00,9.562905311584473,18.25,18.25,17.59375,17.78125,717200
2000-01-13 00:00:00+00:00,10.086896896362305,19.25,19.84375,18.296875,18.3125,1763400
2000-01-14 00:00:00+00:00,10.23426628112793,19.53125,19.5625,19.1875,19.375,1019200
2000-01-18 00:00:00+00:00,9.841278076171875,18.78125,19.4375,18.59375,19.40625,673600
2000-01-19 00:00:00+00:00,9.988648414611816,19.0625,19.625,18.8125,18.84375,371800
2000-01-20 00:00:00+00:00,9.988648414611816,19.0625,19.3125,18.875,19.28125,379800
2000-01-21 00:00:00+00:00,10.463521003723145,19.96875,20.09375,19.1875,19.4375,1067200
2000-01-24 00:00:00+00:00,10.348894119262695,19.75,20.9375,19.625,20.0625,1131000
2000-01-25 00:00:00+00:00,11.102134704589844,21.1875,21.25,19.25,19.71875,1019800
2000-01-26 00:00:00+00:00,11.003884315490723,21.0,21.3125,19.8125,21.1875,984000
2000-01-27 00:00:00+00:00,10.283393859863281,19.625,21.4375,19.59375,20.9375,1275600
2000-01-28 00:00:00+00:00,9.562905311584473,18.25,19.6875,18.1875,19.6875,1215800
2000-01-31 00:00:00+00:00,10.185145378112793,19.4375,19.4375,17.9375,18.125,851600
2000-02-01 00:00:00+00:00,10.25064468383789,19.5625,19.65625,18.6875,19.3125,807200
2000-02-02 00:00:00+00:00,10.381643295288086,19.8125,19.875,19.0,19.5625,1163000
2000-02-03 00:00:00+00:00,10.07052230834961,19.21875,20.0625,18.75,20.0,1115800
2000-02-04 00:00:00+00:00,9.726648330688477,18.5625,19.375,18.40625,19.375,577600
2000-02-07 00:00:00+00:00,9.612028121948242,18.34375,19.40625,18.28125,19.40625,576400
2000-02-08 00:00:00+00:00,9.612028121948242,18.34375,18.625,18.25,18.59375,549600
2000-02-09 00:00:00+00:00,9.41552448272705,17.96875,18.75,17.8125,18.34375,597400
2000-02-10 00:00:00+00:00,9.350028038024902,17.84375,18.4375,17.75,18.0,464200
2000-02-11 00:00:00+00:00,9.194466590881348,17.546875,18.0,17.5,17.8125,425800
2000-02-14 00:00:00+00:00,8.826033592224121,16.84375,17.71875,16.59375,17.671875,1000000
2000-02-15 00:00:00+00:00,9.251776695251465,17.65625,18.0,16.5625,16.75,758600
2000-02-16 00:00:00+00:00,9.268155097961426,17.6875,18.0,17.1875,17.625,1428800
2000-02-17 00:00:00+00:00,8.727783203125,16.65625,17.78125,16.46875,17.6875,753600
2000-02-18 00:00:00+00:00,8.49853515625,16.21875,16.75,16.1875,16.5625,669800
2000-02-22 00:00:00+00:00,8.547662734985352,16.3125,16.65625,16.125,16.625,464000
2000-02-23 00:00:00+00:00,8.465786933898926,16.15625,16.6875,16.125,16.21875,689800
2000-02-24 00:00:00+00:00,9.268155097961426,17.6875,17.6875,16.09375,16.25,1495400
2000-02-25 00:00:00+00:00,8.957029342651367,17.09375,17.75,16.9375,17.71875,664200
2000-02-28 00:00:00+00:00,8.973411560058594,17.125,17.3125,16.59375,17.15625,873000
2000-02-29 00:00:00+00:00,8.629535675048828,16.46875,17.21875,16.4375,17.125,1204600
2000-03-01 00:00:00+00:00,8.727783203125,16.65625,16.90625,16.4375,16.65625,791200
2000-03-02 00:00:00+00:00,8.98978042602539,17.15625,17.28125,16.46875,16.75,1276600
2000-03-03 00:00:00+00:00,8.92428207397461,17.03125,17.375,16.875,17.375,674600
2000-03-06 00:00:00+00:00,8.809659004211426,16.8125,17.40625,16.75,17.0,633000
2000-03-07 00:00:00+00:00,8.531288146972656,16.28125,17.03125,16.1875,17.0,781200
2000-03-08 00:00:00+00:00,8.089166641235352,15.4375,16.15625,15.25,16.125,1486000
