Price,Adj Close,Close,High,Low,Open,Volume
Ticker,UHS,UHS,UHS,UHS,UHS,UHS
Date,,,,,,
2000-01-03 00:00:00+00:00,8.344688415527344,9.3125,9.46875,9.03125,9.03125,535200
2000-01-04 00:00:00+00:00,8.176677703857422,9.125,9.265625,9.046875,9.265625,290800
2000-01-05 00:00:00+00:00,8.512703895568848,9.5,9.5,9.15625,9.15625,532000
2000-01-06 00:00:00+00:00,9.142762184143066,10.203125,10.234375,9.453125,9.46875,1078400
2000-01-07 00:00:00+00:00,9.898819923400879,11.046875,11.25,10.25,10.25,1452400
2000-01-10 00:00:00+00:00,10.374858856201172,11.578125,11.75,11.15625,11.15625,1233600
2000-01-11 00:00:00+00:00,9.968818664550781,11.125,11.546875,11.125,11.546875,1100400
2000-01-12 00:00:00+00:00,9.926820755004883,11.078125,11.171875,11.0,11.140625,360400
2000-01-13 00:00:00+00:00,10.304850578308105,11.5,11.5,11.0625,11.0625,556800
2000-01-14 00:00:00+00:00,10.262850761413574,11.453125,11.671875,11.34375,11.5,858800
2000-01-18 00:00:00+00:00,10.248846054077148,11.4375,11.625,11.40625,11.515625,230400
2000-01-19 00:00:00+00:00,9.982826232910156,11.140625,11.421875,10.875,11.40625,782800
2000-01-20 00:00:00+00:00,10.752886772155762,12.0,12.140625,11.875,12.0,1220800
2000-01-21 00:00:00+00:00,10.752886772155762,12.0,12.28125,11.96875,12.015625,1683600
2000-01-24 00:00:00+00:00,10.752886772155762,12.0,12.046875,11.9375,11.96875,1110400
2000-01-25 00:00:00+00:00,10.626872062683105,11.859375,12.25,11.84375,12.015625,998400
2000-01-26 00:00:00+00:00,10.43085765838623,11.640625,11.984375,11.640625,11.859375,775200
2000-01-27 00:00:00+00:00,10.304850578308105,11.5,11.875,11.5,11.640625,813200
2000-01-28 00:00:00+00:00,10.080833435058594,11.25,11.640625,11.1875,11.5,526800
2000-01-31 00:00:00+00:00,10.010828018188477,11.171875,11.390625,11.0625,11.28125,377600
2000-02-01 00:00:00+00:00,10.094834327697754,11.265625,11.296875,10.9375,11.203125,574800
2000-02-02 00:00:00+00:00,10.304850578308105,11.5,11.59375,11.21875,11.265625,538000
2000-02-03 00:00:00+00:00,10.766892433166504,12.015625,12.09375,11.5,11.5,812000
2000-02-04 00:00:00+00:00,10.864897727966309,12.125,12.359375,11.984375,11.984375,808800
2000-02-07 00:00:00+00:00,10.696885108947754,11.9375,12.125,11.875,12.125,238000
2000-02-08 00:00:00+00:00,10.55687141418457,11.78125,12.234375,11.765625,11.9375,426400
2000-02-09 00:00:00+00:00,10.304850578308105,11.5,11.984375,11.46875,11.8125,371600
2000-02-10 00:00:00+00:00,10.206843376159668,11.390625,11.4375,10.828125,11.4375,766800
2000-02-11 00:00:00+00:00,10.136838912963867,11.3125,11.515625,11.25,11.359375,342400
2000-02-14 00:00:00+00:00,9.898819923400879,11.046875,11.25,11.015625,11.21875,300800
2000-02-15 00:00:00+00:00,10.360860824584961,11.5625,11.75,10.90625,11.0,1029200
2000-02-16 00:00:00+00:00,9.660797119140625,10.78125,11.546875,10.78125,11.546875,565600
2000-02-17 00:00:00+00:00,9.520788192749023,10.625,10.84375,10.546875,10.84375,774000
2000-02-18 00:00:00+00:00,9.156759262084961,10.21875,10.625,10.140625,10.625,958400
2000-02-22 00:00:00+00:00,9.030744552612305,10.078125,10.21875,9.8125,10.21875,1105600
2000-02-23 00:00:00+00:00,8.932740211486816,9.96875,10.078125,9.8125,10.078125,770000
2000-02-24 00:00:00+00:00,8.708721160888672,9.71875,10.0,9.546875,10.0,694400
2000-02-25 00:00:00+00:00,8.848731994628906,9.875,9.875,9.625,9.75,568400
2000-02-28 00:00:00+00:00,8.582709312438965,9.578125,9.859375,9.578125,9.84375,874400
2000-02-29 00:00:00+00:00,8.708721160888672,9.71875,9.921875,9.5625,9.578125,568400
2000-03-01 00:00:00+00:00,8.974743843078613,10.015625,10.0625,9.734375,9.734375,452800
2000-03-02 00:00:00+00:00,9.35276985168457,10.4375,10.484375,10.078125,10.078125,520800
2000-03-03 00:00:00+00:00,9.268769264221191,10.34375,10.46875,10.296875,10.46875,584800
